question,option_a,option_b,option_c,option_d,answer,explanation,topic,subtopic,difficulty
"What is 15% of 200?",25,30,35,40,B,"15/100 × 200 = 30",Quantitative,Percentage,EASY
"If 25% of a number is 75, find the number",200,250,300,350,C,"25/100 × x = 75 → x = 300",Quantitative,Percentage,EASY
"What percent of 80 is 20?",20,25,30,40,B,"20/80 × 100 = 25%",Quantitative,Percentage,EASY
"A number increased from 200 to 250. Find % increase",20,25,30,15,B,"50/200 × 100 = 25%",Quantitative,Percentage,EASY
"What is 30% of 500?",100,120,150,180,C,"30/100 × 500 = 150",Quantitative,Percentage,EASY
"If 40% of x = 120, find x",200,250,300,350,C,"40/100 × x = 120 → x = 300",Quantitative,Percentage,EASY
"A number decreased from 500 to 400. Find % decrease",15,20,25,30,B,"100/500 × 100 = 20%",Quantitative,Percentage,EASY
"What percent of 150 is 45?",25,30,35,40,B,"45/150 × 100 = 30%",Quantitative,Percentage,EASY
"If 60% of a number is 180, what is 80% of that number?",200,220,240,260,C,"Number = 300, 80% of 300 = 240",Quantitative,Percentage,MEDIUM
"A student scored 450 out of 600. What is the percentage?",70,72,75,78,C,"450/600 × 100 = 75%",Quantitative,Percentage,EASY
"Price increased by 20% then decreased by 20%. Net change?",0,-2,-4,-6,C,"100 → 120 → 96. Loss = 4%",Quantitative,Percentage,MEDIUM
"If 35% of a number is 105, find 65% of that number",195,200,210,215,A,"Number=300, 65% of 300=195",Quantitative,Percentage,MEDIUM
"A shopkeeper gives 10% discount on ₹500. Final price?",400,425,450,475,C,"500 - 50 = 450",Quantitative,Percentage,EASY
"What is 12.5% of 400?",40,45,50,55,C,"12.5/100 × 400 = 50",Quantitative,Percentage,EASY
"Income increased by 25%. By what % should it decrease to get original?",20,25,15,30,A,"25/125 × 100 = 20%",Quantitative,Percentage,MEDIUM
"If A's salary is 20% more than B's, by what % is B's salary less than A's?",16.67,20,15,18,A,"20/120 × 100 = 16.67%",Quantitative,Percentage,MEDIUM
"What percent of 2 hours is 30 minutes?",20,25,30,35,B,"30/120 × 100 = 25%",Quantitative,Percentage,EASY
"A number is first increased by 10% then by 20%. Net increase?",30,32,33,35,B,"100→110→132. Net = 32%",Quantitative,Percentage,MEDIUM
"If 15% of x + 20% of x = 70, find x",200,250,300,350,A,"35% of x = 70 → x = 200",Quantitative,Percentage,MEDIUM
"Population of a town is 10000. It increases 10% per year. After 2 years?",12000,12100,11000,11500,B,"10000 × 1.1 × 1.1 = 12100",Quantitative,Percentage,MEDIUM
